taxa	stitle	assembly_accession	domain	phylum	class	order	family	genus	species
PWHO01000197.1_5	PWHO01000197.1_5 # 3315 # 4574 # 1 # ID=273_5;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=9bp;gc_cont=0.477	GCA_003555385.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA7960	PYGY01	PYGY01 sp003555385
WP_218846229.1	WP_218846229.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Winogradskyella ludwigii]	GCF_013403985.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Winogradskyella ludwigii
MBI1222491.1	MBI1222491.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidetes bacterium]	GCA_016124735.1	Bacteria	Bacteroidota	Bacteroidia	NS11-12g	UBA8524	UBA8524	UBA8524 sp016124735
WP_007644992.1	WP_007644992.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Shewanella sp. HN-41]	GCF_000217915.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella sp000217915
WP_007645819.1	WP_007645819.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Shewanella sp. HN-41]	GCF_000217915.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella sp000217915
WP_203324893.1	WP_203324893.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Shewanella litorisediminis]	GCF_016834455.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella litorisediminis
JAABTU010000231.1_4	JAABTU010000231.1_4 # 2325 # 3539 # -1 # ID=233_4;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.507	GCA_011389715.1	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfotignum	Desulfotignum sp011389715
WP_027201137.1	WP_027201137.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Butyricimonas]	GCF_000519105.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas virosa
WP_172644829.1	WP_172644829.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Tenacibaculum]	GCF_003867015.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum singaporense
NQU66612.1	NQU66612.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Candidatus Marinimicrobia bacterium]	GCA_013204025.1	Bacteria	Marinisomatota	Marinisomatia	SCGC-AAA003-L08	JACNLC01	JABMOW01	JABMOW01 sp013204025
NJD05537.1	NJD05537.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Methylococcaceae bacterium]	GCA_012026715.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	VEPB01	VEPB01 sp012026715
MBQ0144923.1	MBQ0144923.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_018066065.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp018066065
WP_202087734.1	WP_202087734.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Zobellella sp. CGMCC 1.18722]	GCF_016746085.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	CGMCC-1-18722	CGMCC-1-18722 sp016746085
WP_157188644.1	WP_157188644.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Enterobacter asburiae]	GCF_009755685.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp000568095
WP_047343779.1	WP_047343779.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Enterobacter]	GCF_001729765.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter kobei
WP_045259789.1	WP_045259789.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Enterobacter]	GCF_900324475.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter bugandensis
WP_018346716.1	WP_018346716.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Gallibacterium anatis]	GCF_000379785.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Gallibacterium	Gallibacterium anatis
WP_032638316.1	WP_032638316.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Enterobacter cloacae complex]	GCF_001984825.2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter chengduensis
WP_149366159.1	WP_149366159.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Enterobacter vonholyi]	GCF_008364555.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter vonholyi
WP_138363013.1	WP_138363013.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Klebsiella]	GCF_005860775.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella indica
WP_077668158.1	WP_077668158.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Salinivibrio]	GCF_001996005.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Salinivibrio	Salinivibrio siamensis
WP_110511593.1	WP_110511593.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Scandinavium goeteborgense]	GCF_003935895.2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Scandinavium	Scandinavium goeteborgense
WP_072956192.1	WP_072956192.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Vibrio gazogenes]	GCF_900129185.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio gazogenes
WP_074371723.1	WP_074371723.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Vibrio spartinae]	GCF_900149295.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio spartinae
MBP5373609.1	MBP5373609.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_017961015.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp017961015
WP_054424757.1	WP_054424757.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Morganella morganii]	GCF_019242955.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Morganella	Morganella morganii_A
WP_053909125.1	WP_053909125.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Moellerella wisconsensis]	GCF_001294465.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Moellerella	Moellerella wisconsensis
WP_007104277.1	WP_007104277.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Paraglaciecola polaris]	GCF_000315055.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Paraglaciecola	Paraglaciecola polaris
WP_042848703.1	WP_042848703.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Providencia]	GCF_001874625.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Providencia	Providencia rettgeri_A
WP_099110773.1	WP_099110773.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Xenorhabdus]	GCF_002632825.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Xenorhabdus	Xenorhabdus stockiae
RME88371.1	RME88371.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Candidatus Hydrogenedentes bacterium]	GCA_003695005.1	Bacteria	Spirochaetota	Leptospirae	Turneriellales	J094	J094	J094 sp003695005
NCA86370.1	NCA86370.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Clostridia bacterium]	GCA_009928785.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	4484-276	SABY01	SABY01 sp009928785
SKGE01000086.1_39	SKGE01000086.1_39 # 35087 # 36172 # 1 # ID=68_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.381	GCA_007117625.1	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	SLQR01	SLQR01 sp007117625
ONDF01000024.1_49	ONDF01000024.1_49 # 60722 # 61996 # 1 # ID=55_49;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.607	GCA_900316525.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp900316525
CACXNH010000071.1_5	CACXNH010000071.1_5 # 3797 # 5071 # -1 # ID=71_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.527	GCA_902768955.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp902768955
GEK77024.1	GEK77024.1 Na(+)-translocating NADH-quinone reductase subunit F [Pseudoalteromonas atlantica]	GCA_007988745.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas atlantica
CACZXZ010000036.1_14	CACZXZ010000036.1_14 # 13857 # 15083 # 1 # ID=36_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.412	GCA_902785325.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	Succinivibrio sp003456415
JADGFG010000053.1_15	JADGFG010000053.1_15 # 15955 # 17181 # 1 # ID=217_15;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.409	GCA_016743995.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Kangiellaceae	Aliikangiella	Aliikangiella sp016743995
JAAXQD010000219.1_31	JAAXQD010000219.1_31 # 26997 # 28223 # 1 # ID=76_31;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.477	GCA_012974475.1	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	UBA11574	JAAXQD01	JAAXQD01 sp012974475
MBQ6777318.1	MBQ6777318.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Paludibacteraceae bacterium]	GCA_017439235.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	RF16 sp017439235
RJP63161.1	RJP63161.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Ignavibacteriales bacterium]	GCA_003599395.1	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	SURF-28	SURF-28 sp003599395
MBU3658360.1	MBU3658360.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flavobacteriales bacterium]	GCA_018883325.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA952	UBA952 sp018883325
WYBN01000012.1_53	WYBN01000012.1_53 # 70473 # 71708 # -1 # ID=11_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.411	GCA_011525875.1	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	CHB1	CHB1 sp011525875
PIVU01000020.1_27	PIVU01000020.1_27 # 26358 # 27461 # -1 # ID=99_27;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.443	GCA_003354025.1	Bacteria	Nitrospirota	Thermodesulfovibrionia	UBA6902	UBA6902	Glo-13	Glo-13 sp003354025
WP_153828620.1	WP_153828620.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Ornithobacterium rhinotracheale]	GCF_009659645.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Ornithobacterium	Ornithobacterium rhinotracheale_B
CACKBL010000006.1_90	CACKBL010000006.1_90 # 110815 # 112110 # 1 # ID=6_90;partial=00;start_type=ATG;rbs_motif=TAAATT;rbs_spacer=12bp;gc_cont=0.363	GCA_902598305.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	TMED96	TMED96 sp902598305
CAIJMB010000246.1_7	CAIJMB010000246.1_7 # 6492 # 7787 # -1 # ID=246_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.499	GCA_903821715.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	TMED14	TMED14 sp903821715
HCT94510.1	HCT94510.1 TPA: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Rikenellaceae bacterium]	GCA_003542575.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp003542575
MBK8193942.1	MBK8193942.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Lewinellaceae bacterium]	GCA_016712415.1	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	M3007	M3007 sp016712415
WP_027418239.1	WP_027418239.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Crocinitomix catalasitica]	GCF_000621625.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	Crocinitomix catalasitica
CAAFXL010000328.1_3	CAAFXL010000328.1_3 # 734 # 1984 # 1 # ID=328_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383	GCA_900767005.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	HGM20899	HGM20899 sp900767005
HHB79804.1	HHB79804.1 MAG TPA: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Saprospiraceae bacterium]	GCA_011371135.1	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	HyVt-613	HyVt-613 sp011371135
NUM50857.1	NUM50857.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flavobacteriales bacterium]	GCA_013359255.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Vicingaceae	BCD5	BCD5 sp013359255
MBK9149324.1	MBK9149324.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flavobacteriales bacterium]	GCA_016716605.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	PHOS-HE28	PHOS-HE28	PHOS-HE28 sp016716605
MBF45068.1	MBF45068.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flavobacteriales bacterium]	GCA_002714805.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UBA7312	UBA8444	UBA8444 sp002714805
NBC82062.1	NBC82062.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidetes bacterium]	GCA_009908855.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA10428	JAAAOM01	JAAAOM01 sp009908855
WP_168881014.1	WP_168881014.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flammeovirga agarivorans]	GCF_012641475.1	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Flammeovirga	Flammeovirga sp012641475
WP_138838417.1	WP_138838417.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flagellimonas algicola]	GCF_005937185.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda	Muricauda algicola
WP_036827130.1	WP_036827130.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Polaribacter sp. Hel1_85]	GCF_000766795.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter sp000766795
CAG0948588.1	CAG0948588.1 Na(+)-translocating NADH-quinone reductase subunit F [Flavobacteriales bacterium]	GCA_905339165.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Vicingaceae	BCD5	BCD5 sp013112825
CACKQW010000007.1_62	CACKQW010000007.1_62 # 66046 # 67353 # -1 # ID=7_62;partial=00;start_type=ATG;rbs_motif=TAAAT;rbs_spacer=10bp;gc_cont=0.352	GCA_902602415.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MED-G13	MED-G13 sp902602415
WP_026473778.1	WP_026473778.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Alkaliflexus imshenetskii]	GCF_000517065.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Alkaliflexus	Alkaliflexus imshenetskii
WP_093920834.1	WP_093920834.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Sunxiuqinia elliptica]	GCF_900113005.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	Sunxiuqinia elliptica
OFX33780.1	OFX33780.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidetes bacterium GWA2_32_17]	GCA_001769035.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	GWA2-32-17	GWA2-32-17	GWA2-32-17 sp001769035
OFY33395.1	OFY33395.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidetes bacterium GWF2_35_48]	GCA_001769125.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	GWF2-35-48	GWF2-35-48	GWF2-35-48 sp001769125
JAHDRA010000108.1_11	JAHDRA010000108.1_11 # 9402 # 10661 # 1 # ID=77_11;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=13bp;gc_cont=0.417	GCA_018433525.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	MVYY01	MVYY01 sp002068215
DJVY01000110.1_15	DJVY01000110.1_15 # 15333 # 16592 # 1 # ID=117_15;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.422	GCA_002440885.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	UBA6244	UBA6244 sp002440885
WP_101015261.1	WP_101015261.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flavobacteriaceae]	GCF_002831645.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Olleya	Olleya sp002831645
MBR98481.1	MBR98481.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flavobacteriaceae bacterium]	GCA_002728855.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	GCA-002728855	GCA-002728855 sp002728855
HAP70192.1	HAP70192.1 TPA: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flavobacteriales bacterium]	GCA_003456455.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UBA10329	UBA10329	UBA10329 sp003456455
CAJQQH010000065.1_2	CAJQQH010000065.1_2 # 595 # 1905 # -1 # ID=65_2;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=4bp;gc_cont=0.339	GCA_905480405.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter sp905480405
CAJQQH010000067.1_28	CAJQQH010000067.1_28 # 37799 # 39109 # 1 # ID=67_28;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=10bp;gc_cont=0.346	GCA_905480405.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter sp905480405
CAJQLK010000036.1_16	CAJQLK010000036.1_16 # 16353 # 17666 # -1 # ID=36_16;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=3bp;gc_cont=0.359	GCA_905479165.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	BACL11	UWMA-0277	UWMA-0277 sp905479165
WP_066079372.1	WP_066079372.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bergeriella denitrificans]	GCF_001592185.1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria denitrificans
WP_096294688.1	WP_096294688.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Neisseria sp. 10022]	GCF_002327085.1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria sp002327085
WP_037442575.1	WP_037442575.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Shewanella mangrovi]	GCF_000753795.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella mangrovi
WP_140933225.1	WP_140933225.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Shewanella sp. SNU WT4]	GCF_006494715.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella sp006494715
JADGDZ010000004.1_56	JADGDZ010000004.1_56 # 60103 # 61419 # -1 # ID=53_56;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=13bp;gc_cont=0.364	GCA_016744625.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Winogradskyella sp016744625
MBK8668687.1	MBK8668687.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Saprospiraceae bacterium]	GCA_016714765.1	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	OLB9	OLB9 sp016714765
CACZCQ010000006.1_10	CACZCQ010000006.1_10 # 8740 # 10008 # -1 # ID=6_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.564	GCA_902779765.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp902779765
WP_148244825.1	WP_148244825.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Enterobacter asburiae]	GCF_008080435.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae_C
WP_068903637.1	WP_068903637.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Enterovibrio pacificus]	GCF_001707825.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Enterovibrio	Enterovibrio pacificus
WP_129122600.1	WP_129122600.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Veronia nyctiphanis]	GCF_004116385.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Enterovibrio	Enterovibrio sp004116385
WP_123755566.1	WP_123755566.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Enterobacteriaceae]	GCF_014298075.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp003752615
WP_010556998.1	WP_010556998.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Pseudoalteromonas]	GCF_000238335.3	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas marina
WP_155696245.1	WP_155696245.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Psychrosphaera haliotis]	GCF_009728465.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Psychrosphaera	Psychrosphaera haliotis
WP_110265618.1	WP_110265618.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Sinimarinibacterium flocculans]	GCF_003201205.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Nevskiaceae	Sinimarinibacterium	Sinimarinibacterium flocculans
WP_020825370.1	WP_020825370.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Serratia liquefaciens]	GCF_000422085.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	Serratia liquefaciens
WP_038155462.1	WP_038155462.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Trabulsiella guamensis]	GCF_000734965.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Trabulsiella	Trabulsiella guamensis
MBR9820533.1	MBR9820533.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Rhodobacteraceae bacterium]	GCA_018222585.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudooceanicola	Pseudooceanicola sp018222585
MBR5076291.1	MBR5076291.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_017548445.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp017548445
CACXMA010000006.1_1	CACXMA010000006.1_1 # 123 # 1394 # -1 # ID=6_1;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=14bp;gc_cont=0.615	GCA_902768665.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	Cryptobacteroides sp902768665
WP_072309716.1	WP_072309716.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Hafnia alvei]	GCF_900095695.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Hafnia	Hafnia alvei_B
WP_063706299.1	WP_063706299.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Pseudoalteromonas gelatinilytica]	GCF_001641615.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas gelatinilytica
WP_118986850.1	WP_118986850.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Photorhabdus]	GCF_003545805.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Photorhabdus	Photorhabdus sp003545805
WP_005592797.1	WP_005592797.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Vibrio]	GCF_000222585.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio scophthalmi
WP_006711713.1	WP_006711713.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Vibrio ichthyoenteri]	GCF_000222605.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio ichthyoenteri
WP_086983271.1	WP_086983271.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Vibrio aphrogenes]	GCF_002157735.2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio aphrogenes
WP_182109342.1	WP_182109342.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Vibrio marinisediminis]	GCF_014050145.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio marinisediminis
